"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.62709360346,-2.42271867274458,0.0600206116828652,-40.3647781123201,0,0,"CNN3","1266","calponin 3"
"ENSG00000183508",2053.88135557663,3.20195507946725,0.0724183936577167,44.2146658844877,0,0,"TENT5C","54855","terminal nucleotidyltransferase 5C"
"ENSG00000159176",5692.46278267679,-2.31373715139127,0.0575752975845178,-40.1862821116089,0,0,"CSRP1","1465","cysteine and glycine rich protein 1"
"ENSG00000150938",7442.98631416393,-2.0596308253225,0.0538695794326758,-38.2336533348389,0,0,"CRIM1","51232","cysteine rich transmembrane BMP regulator 1"
"ENSG00000116016",4423.94665216876,-1.88801905872991,0.043184871587059,-43.7194552014295,0,0,"EPAS1","2034","endothelial PAS domain protein 1"
"ENSG00000136068",3796.1265394147,-1.64979172297661,0.0439495991271209,-37.5382655528827,0,0,"FLNB","2317","filamin B"
"ENSG00000164251",2348.7701339719,3.34450810607022,0.0690756107415732,48.4180750653477,0,0,"F2RL1","2150","F2R like trypsin receptor 1"
"ENSG00000124766",2576.65254960143,2.39228763587961,0.0617147925080549,38.7636017016078,0,0,"SOX4","6659","SRY-box transcription factor 4"
"ENSG00000124762",28106.1191885778,1.83225761336311,0.0389288783718956,47.0667969382312,0,0,"CDKN1A","1026","cyclin dependent kinase inhibitor 1A"
"ENSG00000106366",43719.1260988373,-1.84404625594685,0.0419492820069184,-43.9589467977716,0,0,"SERPINE1","5054","serpin family E member 1"
"ENSG00000188153",2944.12640623352,2.26607990867296,0.0552779399492412,40.9942901409456,0,0,"COL4A5","1287","collagen type IV alpha 5 chain"
"ENSG00000122861",28007.1433373973,2.26252564418674,0.0552489777722248,40.9514480704867,0,0,"PLAU","5328","plasminogen activator, urokinase"
"ENSG00000148773",1840.19727265675,-3.19605851018679,0.0757830971068323,-42.1737647602508,0,0,"MKI67","4288","marker of proliferation Ki-67"
"ENSG00000059804",3443.39680712992,2.07976314386613,0.054337362757132,38.2750107538694,0,0,"SLC2A3","6515","solute carrier family 2 member 3"
"ENSG00000123416",4420.07398793879,-1.93841715977851,0.0505943894573,-38.3128876654292,0,0,"TUBA1B","10376","tubulin alpha 1b"
"ENSG00000139289",12942.9106281238,2.03736108084223,0.0463248630099629,43.9798619675155,0,0,"PHLDA1","22822","pleckstrin homology like domain family A member 1"
"ENSG00000125257",6050.78726438958,1.95054931930821,0.0436162360599955,44.7207163090635,0,0,"ABCC4","10257","ATP binding cassette subfamily C member 4"
"ENSG00000211448",1884.75741158654,2.52372182594425,0.0653970371036175,38.5907670701591,0,0,"DIO2","1734","iodothyronine deiodinase 2"
"ENSG00000128917",1307.34250385583,3.85825374257119,0.0865093533582893,44.5992669323484,0,0,"DLL4","54567","delta like canonical Notch ligand 4"
"ENSG00000138623",2851.61916336974,-2.40668726414087,0.0581459677607468,-41.3904412777798,0,0,"SEMA7A","8482","semaphorin 7A (John Milton Hagen blood group)"
"ENSG00000131747",1743.84285765667,-2.92418951782789,0.0696188982590295,-42.0028123247214,0,0,"TOP2A","7153","DNA topoisomerase II alpha"
"ENSG00000167601",8245.06804500101,-2.14234540156222,0.040469165837972,-52.9377207857362,0,0,"AXL","558","AXL receptor tyrosine kinase"
"ENSG00000198743",1999.10327890814,2.53453033254277,0.0670980055769151,37.7735569150028,0,0,"SLC5A3","6526","solute carrier family 5 member 3"
"ENSG00000074800",18390.4756149844,-1.33893090316881,0.0358910287740334,-37.3054478766434,1.33910254377341e-304,8.00169565843935e-302,"ENO1","2023","enolase 1"
"ENSG00000181104",14922.5173336984,1.66815957249358,0.0447864551550703,37.246966001611,1.18644763120688e-303,6.80593819165516e-301,"F2R","2149","coagulation factor II thrombin receptor"
"ENSG00000115963",13232.3301349766,1.80533030487142,0.0488897584437526,36.9265539928663,1.73274788952098e-298,9.55743749370013e-296,"RND3","390","Rho family GTPase 3"
"ENSG00000104368",13214.4968037918,2.02763730494383,0.0550732884872397,36.8170734059876,9.84374379507701e-297,5.22848628759998e-294,"PLAT","5327","plasminogen activator, tissue type"
"ENSG00000157680",1359.0634938634,2.54493813520505,0.0693509339084684,36.6965229129277,8.29780403565635e-295,4.24995741697671e-292,"DGKI","9162","diacylglycerol kinase iota"
